WL,WU,wc,L90_500,M60_350,H0_200
280,281,280.5,0.000E+00,4.729E-16,1.731E+04
281,282,281.5,0.000E+00,3.278E-13,2.648E+05
282,283,282.5,9.862E-22,6.296E-11,1.887E+06
283,284,283.5,9.777E-20,1.751E-09,6.122E+06
284,285,284.5,2.615E-16,4.770E-07,3.154E+07
285,286,285.5,5.613E-14,1.964E-05,6.639E+07
286,287,286.5,1.568E-11,1.588E-03,5.308E+08
287,288,287.5,3.025E-09,7.976E-02,1.973E+09
288,289,288.5,6.969E-07,4.422E+00,6.125E+09
289,290,289.5,5.929E-05,1.390E+02,2.422E+10
290,291,290.5,2.383E-03,2.454E+03,7.306E+10
291,292,291.5,1.029E-01,4.226E+04,1.668E+11
292,293,292.5,2.110E+00,4.105E+05,3.064E+11
293,294,293.5,4.589E+01,4.440E+06,6.851E+11
294,295,294.5,4.258E+02,2.382E+07,1.065E+12
295,296,295.5,5.801E+03,1.811E+08,2.162E+12
296,297,296.5,4.151E+04,7.944E+08,3.161E+12
297,298,297.5,2.759E+05,3.425E+09,5.186E+12
298,299,298.5,9.447E+05,8.094E+09,5.425E+12
299,300,299.5,5.735E+06,3.449E+10,1.070E+13
300,301,300.5,1.167E+07,5.310E+10,9.127E+12
301,302,301.5,5.420E+07,1.807E+11,1.637E+13
302,303,302.5,1.188E+08,3.212E+11,1.909E+13
303,304,303.5,3.991E+08,8.331E+11,3.013E+13
304,305,304.5,6.499E+08,1.163E+12,3.153E+13
305,306,305.5,1.571E+09,2.204E+12,3.902E+13
306,307,306.5,2.139E+09,2.694E+12,3.963E+13
307,308,307.5,5.194E+09,5.239E+12,5.422E+13
308,309,308.5,7.161E+09,6.593E+12,5.949E+13
309,310,309.5,9.104E+09,7.086E+12,5.065E+13
310,311,310.5,1.633E+10,1.113E+13,6.730E+13
311,312,311.5,2.532E+10,1.575E+13,8.521E+13
312,313,312.5,3.531E+10,1.815E+13,8.077E+13
313,314,313.5,4.398E+10,2.148E+13,9.097E+13
314,315,314.5,6.215E+10,2.474E+13,8.869E+13
315,316,315.5,6.887E+10,2.626E+13,9.121E+13
316,317,316.5,9.444E+10,2.919E+13,8.911E+13
317,318,317.5,1.346E+11,4.150E+13,1.260E+14
318,319,318.5,1.510E+11,3.611E+13,9.732E+13
319,320,319.5,2.006E+11,4.508E+13,1.183E+14
320,321,320.5,2.693E+11,5.632E+13,1.433E+14
321,322,321.5,3.758E+11,5.240E+13,1.197E+14
322,323,322.5,2.547E+11,4.957E+13,1.220E+14
323,324,323.5,5.185E+11,5.695E+13,1.231E+14
324,325,324.5,5.923E+11,6.688E+13,1.446E+14
325,326,325.5,5.952E+11,7.428E+13,1.625E+14
326,327,326.5,1.375E+12,9.678E+13,1.938E+14
327,328,327.5,1.017E+12,8.853E+13,1.813E+14
328,329,328.5,9.415E+11,8.215E+13,1.674E+14
329,330,329.5,2.198E+12,1.125E+14,2.145E+14
330,331,330.5,1.543E+12,1.006E+14,1.959E+14
331,332,331.5,1.449E+12,9.941E+13,1.938E+14
332,333,332.5,2.279E+12,1.019E+14,1.892E+14
333,334,333.5,1.740E+12,9.470E+13,1.784E+14
334,335,334.5,2.167E+12,1.071E+14,1.990E+14
335,336,335.5,2.814E+12,1.109E+14,2.008E+14
336,337,336.5,2.050E+12,8.661E+13,1.572E+14
337,338,337.5,1.902E+12,9.433E+13,1.731E+14
338,339,338.5,2.610E+12,1.018E+14,1.818E+14
339,340,339.5,2.952E+12,1.113E+14,1.976E+14
340,341,340.5,2.869E+12,1.187E+14,2.116E+14
341,342,341.5,2.939E+12,1.068E+14,1.875E+14
342,343,342.5,3.353E+12,1.190E+14,2.076E+14
343,344,343.5,3.328E+12,1.237E+14,2.158E+14
344,345,344.5,2.218E+12,8.679E+13,1.514E+14
345,346,345.5,3.505E+12,1.204E+14,2.070E+14
346,347,346.5,3.021E+12,1.125E+14,1.939E+14
347,348,347.5,2.992E+12,1.104E+14,1.895E+14
348,349,348.5,3.402E+12,1.220E+14,2.082E+14
349,350,349.5,2.849E+12,1.026E+14,1.745E+14
350,351,350.5,4.031E+12,1.443E+14,2.443E+14
351,352,351.5,3.446E+12,1.248E+14,2.106E+14
352,353,352.5,3.150E+12,1.130E+14,1.899E+14
353,354,353.5,3.865E+12,1.367E+14,2.286E+14
354,355,354.5,4.253E+12,1.486E+14,2.474E+14
355,356,355.5,3.993E+12,1.394E+14,2.313E+14
356,357,356.5,3.714E+12,1.299E+14,2.147E+14
357,358,357.5,3.160E+12,1.108E+14,1.826E+14
358,359,358.5,2.463E+12,8.588E+13,1.409E+14
359,360,359.5,4.158E+12,1.451E+14,2.372E+14
360,361,360.5,3.870E+12,1.350E+14,2.199E+14
361,362,361.5,3.517E+12,1.221E+14,1.983E+14
362,363,362.5,4.154E+12,1.440E+14,2.329E+14
363,364,363.5,3.711E+12,1.286E+14,2.073E+14
364,365,364.5,4.056E+12,1.407E+14,2.262E+14
365,366,365.5,4.947E+12,1.721E+14,2.757E+14
366,367,366.5,5.264E+12,1.828E+14,2.919E+14
367,368,367.5,5.026E+12,1.742E+14,2.772E+14
368,369,368.5,4.428E+12,1.536E+14,2.436E+14
369,370,369.5,5.329E+12,1.849E+14,2.924E+14
370,371,370.5,4.849E+12,1.683E+14,2.654E+14
371,372,371.5,5.569E+12,1.933E+14,3.037E+14
372,373,372.5,4.128E+12,1.433E+14,2.245E+14
373,374,373.5,3.740E+12,1.300E+14,2.030E+14
374,375,374.5,4.116E+12,1.431E+14,2.229E+14
375,376,375.5,4.661E+12,1.621E+14,2.516E+14
376,377,376.5,4.670E+12,1.624E+14,2.514E+14
377,378,377.5,5.579E+12,1.941E+14,2.995E+14
378,379,378.5,6.097E+12,2.123E+14,3.266E+14
379,380,379.5,4.523E+12,1.576E+14,2.417E+14
380,381,380.5,5.456E+12,1.902E+14,2.909E+14
381,382,381.5,5.143E+12,1.793E+14,2.735E+14
382,383,382.5,3.437E+12,1.199E+14,1.823E+14
383,384,383.5,3.026E+12,1.056E+14,1.602E+14
384,385,384.5,4.555E+12,1.591E+14,2.406E+14
385,386,385.5,4.520E+12,1.579E+14,2.382E+14
386,387,386.5,4.621E+12,1.615E+14,2.429E+14
387,388,387.5,4.306E+12,1.506E+14,2.259E+14
388,389,388.5,4.328E+12,1.515E+14,2.266E+14
389,390,389.5,5.473E+12,1.916E+14,2.860E+14
390,391,390.5,5.392E+12,1.889E+14,2.811E+14
391,392,391.5,6.415E+12,2.248E+14,3.337E+14
392,393,392.5,4.824E+12,1.691E+14,2.504E+14
393,394,393.5,2.103E+12,7.377E+13,1.089E+14
394,395,394.5,4.961E+12,1.742E+14,2.566E+14
395,396,395.5,6.400E+12,2.248E+14,3.304E+14
396,397,396.5,3.769E+12,1.324E+14,1.941E+14
397,398,397.5,4.362E+12,1.533E+14,2.242E+14
398,399,398.5,7.518E+12,2.643E+14,3.856E+14
399,400,399.5,7.841E+12,2.758E+14,4.014E+14
400,401,400.5,8.265E+12,2.909E+14,4.223E+14
401,402,401.5,8.525E+12,3.003E+14,4.349E+14
402,403,402.5,8.873E+12,3.128E+14,4.519E+14
403,404,403.5,8.144E+12,2.872E+14,4.140E+14
404,405,404.5,8.011E+12,2.826E+14,4.064E+14
405,406,405.5,8.345E+12,2.945E+14,4.225E+14
406,407,406.5,7.880E+12,2.783E+14,3.983E+14
407,408,407.5,7.962E+12,2.814E+14,4.020E+14
408,409,408.5,8.885E+12,3.144E+14,4.481E+14
409,410,409.5,8.731E+12,3.092E+14,4.397E+14
410,411,410.5,7.592E+12,2.690E+14,3.816E+14
411,412,411.5,9.152E+12,3.243E+14,4.592E+14
412,413,412.5,9.100E+12,3.224E+14,4.555E+14
413,414,413.5,8.852E+12,3.137E+14,4.422E+14
414,415,414.5,9.122E+12,3.234E+14,4.550E+14
415,416,415.5,8.743E+12,3.103E+14,4.356E+14
416,417,416.5,9.535E+12,3.387E+14,4.746E+14
417,418,417.5,8.737E+12,3.106E+14,4.343E+14
418,419,418.5,8.830E+12,3.140E+14,4.382E+14
419,420,419.5,9.149E+12,3.253E+14,4.531E+14
420,421,420.5,9.220E+12,3.280E+14,4.558E+14
421,422,421.5,9.640E+12,3.432E+14,4.761E+14
422,423,422.5,8.563E+12,3.053E+14,4.227E+14
423,424,423.5,9.347E+12,3.339E+14,4.614E+14
424,425,424.5,9.391E+12,3.360E+14,4.636E+14
425,426,425.5,9.116E+12,3.266E+14,4.497E+14
426,427,426.5,9.240E+12,3.311E+14,4.550E+14
427,428,427.5,8.488E+12,3.040E+14,4.170E+14
428,429,428.5,9.028E+12,3.231E+14,4.423E+14
429,430,429.5,8.285E+12,2.963E+14,4.050E+14
430,431,430.5,6.127E+12,2.193E+14,2.991E+14
431,432,431.5,8.596E+12,3.081E+14,4.195E+14
432,433,432.5,9.194E+12,3.300E+14,4.487E+14
433,434,433.5,1.013E+13,3.638E+14,4.937E+14
434,435,434.5,8.778E+12,3.153E+14,4.272E+14
435,436,435.5,1.002E+13,3.598E+14,4.866E+14
436,437,436.5,1.081E+13,3.880E+14,5.238E+14
437,438,437.5,1.021E+13,3.669E+14,4.945E+14
438,439,438.5,9.111E+12,3.281E+14,4.416E+14
439,440,439.5,1.034E+13,3.735E+14,5.020E+14
440,441,440.5,9.748E+12,3.535E+14,4.744E+14
441,442,441.5,1.090E+13,3.964E+14,5.313E+14
442,443,442.5,1.135E+13,4.137E+14,5.536E+14
443,444,443.5,1.094E+13,3.987E+14,5.327E+14
444,445,444.5,1.134E+13,4.125E+14,5.502E+14
445,446,445.5,1.079E+13,3.914E+14,5.212E+14
446,447,446.5,1.080E+13,3.906E+14,5.193E+14
447,448,447.5,1.182E+13,4.273E+14,5.671E+14
448,449,448.5,1.147E+13,4.151E+14,5.502E+14
449,450,449.5,1.142E+13,4.144E+14,5.485E+14
450,451,450.5,1.226E+13,4.459E+14,5.894E+14
451,452,451.5,1.211E+13,4.405E+14,5.815E+14
452,453,452.5,1.166E+13,4.233E+14,5.579E+14
453,454,453.5,1.130E+13,4.094E+14,5.387E+14
454,455,454.5,1.205E+13,4.365E+14,5.736E+14
455,456,455.5,1.161E+13,4.213E+14,5.529E+14
